Row Labels,account_create,account_update,account_witness_proxy,account_witness_vote,claim_reward_balance,comment,comment_options,delete_comment,follow,post,resmoked,transfer,transfer_to_vesting,vote,withdraw_vesting,witness_update,Grand Total
07/12/2018,3,19,,43,388,179,,5,197,489,69,12,7,1479,6,,2896
08/12/2018,17,14,,43,361,170,,4,189,542,62,15,10,1475,3,,2905
09/12/2018,15,39,,40,307,193,,6,307,630,148,16,12,1700,6,3,3422
10/12/2018,13,25,,57,349,151,,1,170,574,74,20,5,1453,12,1,2905
11/12/2018,13,8,2,42,353,183,,2,262,654,50,5,6,1924,7,12,3523
12/12/2018,19,19,,31,325,197,,1,190,674,80,10,5,1576,4,1,3132
13/12/2018,20,11,,25,318,164,,5,155,531,49,10,9,1662,5,2,2966
14/12/2018,5,7,,47,282,156,,2,165,457,94,6,4,1531,2,3,2761
15/12/2018,3,6,,35,286,153,,3,136,534,66,8,6,1763,5,1,3005
16/12/2018,3,7,,65,315,150,,8,190,642,102,50,10,1620,6,10,3178
17/12/2018,30,29,,64,313,170,,2,267,667,103,42,11,1858,10,6,3572
18/12/2018,24,11,2,119,326,179,,5,381,767,92,8,10,1773,22,6,3725
19/12/2018,20,11,,153,294,155,,1,275,566,93,12,10,1680,2,7,3279
20/12/2018,17,6,,44,291,180,,5,184,580,73,16,11,1751,8,,3166
21/12/2018,16,10,,29,296,157,,9,182,609,66,12,5,1848,12,2,3253
22/12/2018,6,3,,90,294,160,,13,162,583,91,14,9,1589,7,,3021
23/12/2018,4,5,1,23,313,151,,2,127,689,88,13,8,1519,3,,2946
24/12/2018,10,8,,30,294,121,,2,130,442,58,5,4,1581,5,1,2691
25/12/2018,9,18,,21,293,144,,12,175,445,76,19,4,1351,4,2,2573
26/12/2018,8,6,,50,287,109,,2,152,417,50,10,4,1287,2,2,2386
27/12/2018,14,11,,20,270,142,,6,129,558,54,15,9,1548,12,31,2819
28/12/2018,10,21,,21,292,114,,2,135,561,58,4,8,1529,11,13,2779
29/12/2018,7,11,,28,244,129,,6,230,568,64,8,6,1497,7,2,2807
30/12/2018,9,3,,46,263,128,,4,120,496,49,8,5,1551,3,6,2691
31/12/2018,4,10,,29,213,142,,5,119,548,53,14,4,1405,11,3,2560
01/01/2019,5,10,,12,246,103,,5,107,417,45,8,4,1263,6,3,2234
02/01/2019,11,10,1,36,237,153,,3,127,558,52,27,7,1582,2,4,2810
03/01/2019,6,4,,18,260,158,,4,135,455,86,18,11,1406,8,1,2570
04/01/2019,13,10,,32,270,155,,5,148,511,62,17,7,1467,9,3,2709
05/01/2019,6,9,,27,269,148,,9,99,528,39,6,9,1590,9,1,2749
06/01/2019,24,19,,42,254,150,,5,220,483,78,17,7,1444,10,,2753
07/01/2019,8,5,,25,249,158,,7,103,589,75,11,12,1668,5,1,2916
08/01/2019,8,9,,68,226,154,,3,137,665,58,10,5,1432,8,5,2788
09/01/2019,7,7,1,43,235,142,,8,228,569,51,6,2,1543,3,1,2846
10/01/2019,8,5,,36,266,129,,3,126,609,64,29,5,1523,1,1,2805
11/01/2019,4,14,,5,239,134,,6,98,628,69,8,5,1579,2,1,2792
12/01/2019,8,7,,11,277,125,,4,98,515,61,13,5,1424,5,1,2554
13/01/2019,8,10,,48,270,130,,8,129,506,61,26,7,1605,7,,2815
14/01/2019,12,25,,1,294,106,,1,195,507,66,18,9,1559,7,1,2801
15/01/2019,10,9,,22,276,144,,5,103,540,56,11,9,1439,4,1,2629
16/01/2019,14,12,,7,267,162,,2,84,621,48,8,4,1931,1,1,3162
17/01/2019,11,4,,15,283,113,,5,127,663,84,13,5,1599,5,,2927
18/01/2019,12,5,,38,271,170,,4,104,546,33,5,3,1495,2,1,2689
19/01/2019,8,12,,31,269,110,,1,51,506,27,13,6,1372,3,,2409
20/01/2019,13,1,,19,237,105,,3,52,414,40,26,7,1281,6,,2204
21/01/2019,14,11,,74,261,115,,1,127,546,44,17,11,1476,5,,2702
22/01/2019,13,3,,19,243,104,,2,64,484,36,4,4,1434,2,1,2413
23/01/2019,9,4,,31,258,90,,2,96,332,28,28,6,1161,3,,2048
24/01/2019,12,3,,36,242,98,,4,69,418,30,5,4,1266,7,1,2195
25/01/2019,16,3,,19,252,101,,2,76,347,42,4,1,1230,8,,2101
